      No     Day     Mon    Year  Qobs_0000000045  Qsim_0000000045
     589      10      10    1994      153.1700000      215.6912805
     590      11      10    1994      140.4300000      186.6564838
     591      12      10    1994      131.0500000      162.6165361
     592      13      10    1994      117.2600000      142.9370830
     593      14      10    1994      112.7400000      126.5519513
     594      15      10    1994      104.9800000      113.4526046
     595      16      10    1994       95.8100000      104.7451548
     596      17      10    1994       91.9900000       99.2533549
     597      18      10    1994       93.2500000       94.8531917
     598      19      10    1994       90.7200000       90.9381118
     599      20      10    1994       86.9800000       87.2536095
     600      21      10    1994       79.6900000       83.8647891
     601      22      10    1994       78.5000000       80.7552725
     602      23      10    1994       76.1300000       91.8289579
     603      24      10    1994      104.9800000      146.7784137
     604      25      10    1994      192.8700000      187.2444349
     605      26      10    1994      154.7800000      212.5544731
     606      27      10    1994      211.7800000      281.8101798
     607      28      10    1994      232.8800000      357.1279936
     608      29      10    1994      623.2100000      536.1284407
     609      30      10    1994      505.0900000      497.7950437
     610      31      10    1994      384.3900000      421.2495350
     611       1      11    1994      306.4900000      358.5759401
     612       2      11    1994      259.9200000      306.5438419
     613       3      11    1994      211.7800000      263.4787300
     614       4      11    1994      182.7400000      227.6004843
     615       5      11    1994      171.0900000      197.1407777
     616       6      11    1994      148.3600000      184.1490408
     617       7      11    1994      161.2600000      214.8308822
     618       8      11    1994      187.7900000      226.2475639
     619       9      11    1994      184.4200000      201.2904830
     620      10      11    1994      176.0600000      263.0415649
     621      11      11    1994      471.8200000      474.6947313
     622      12      11    1994      515.5600000      486.3519951
     623      13      11    1994      372.4700000      419.6287021
     624      14      11    1994      295.1500000      356.9729590
     625      15      11    1994      258.1000000      305.5865963
